,age_group,EfEp_corr_lag4,EfEp_p_lag4,EfEp_corr_lag3,EfEp_p_lag3,EfEp_corr_lag2,EfEp_p_lag2,EfEp_corr_lag1,EfEp_p_lag1,EfEp_corr_lag0,EfEp_p_lag0,EfEp_corr_lead1,EfEp_p_lead1,EfEp_corr_lead2,EfEp_p_lead2,EfEp_corr_lead3,EfEp_p_lead3,EfEp_corr_lead4,EfEp_p_lead4,EfU_corr_lag4,EfU_p_lag4,EfU_corr_lag3,EfU_p_lag3,EfU_corr_lag2,EfU_p_lag2,EfU_corr_lag1,EfU_p_lag1,EfU_corr_lag0,EfU_p_lag0,EfU_corr_lead1,EfU_p_lead1,EfU_corr_lead2,EfU_p_lead2,EfU_corr_lead3,EfU_p_lead3,EfU_corr_lead4,EfU_p_lead4,EfN_corr_lag4,EfN_p_lag4,EfN_corr_lag3,EfN_p_lag3,EfN_corr_lag2,EfN_p_lag2,EfN_corr_lag1,EfN_p_lag1,EfN_corr_lag0,EfN_p_lag0,EfN_corr_lead1,EfN_p_lead1,EfN_corr_lead2,EfN_p_lead2,EfN_corr_lead3,EfN_p_lead3,EfN_corr_lead4,EfN_p_lead4,EpEf_corr_lag4,EpEf_p_lag4,EpEf_corr_lag3,EpEf_p_lag3,EpEf_corr_lag2,EpEf_p_lag2,EpEf_corr_lag1,EpEf_p_lag1,EpEf_corr_lag0,EpEf_p_lag0,EpEf_corr_lead1,EpEf_p_lead1,EpEf_corr_lead2,EpEf_p_lead2,EpEf_corr_lead3,EpEf_p_lead3,EpEf_corr_lead4,EpEf_p_lead4,EpU_corr_lag4,EpU_p_lag4,EpU_corr_lag3,EpU_p_lag3,EpU_corr_lag2,EpU_p_lag2,EpU_corr_lag1,EpU_p_lag1,EpU_corr_lag0,EpU_p_lag0,EpU_corr_lead1,EpU_p_lead1,EpU_corr_lead2,EpU_p_lead2,EpU_corr_lead3,EpU_p_lead3,EpU_corr_lead4,EpU_p_lead4,EpN_corr_lag4,EpN_p_lag4,EpN_corr_lag3,EpN_p_lag3,EpN_corr_lag2,EpN_p_lag2,EpN_corr_lag1,EpN_p_lag1,EpN_corr_lag0,EpN_p_lag0,EpN_corr_lead1,EpN_p_lead1,EpN_corr_lead2,EpN_p_lead2,EpN_corr_lead3,EpN_p_lead3,EpN_corr_lead4,EpN_p_lead4,UEf_corr_lag4,UEf_p_lag4,UEf_corr_lag3,UEf_p_lag3,UEf_corr_lag2,UEf_p_lag2,UEf_corr_lag1,UEf_p_lag1,UEf_corr_lag0,UEf_p_lag0,UEf_corr_lead1,UEf_p_lead1,UEf_corr_lead2,UEf_p_lead2,UEf_corr_lead3,UEf_p_lead3,UEf_corr_lead4,UEf_p_lead4,UEp_corr_lag4,UEp_p_lag4,UEp_corr_lag3,UEp_p_lag3,UEp_corr_lag2,UEp_p_lag2,UEp_corr_lag1,UEp_p_lag1,UEp_corr_lag0,UEp_p_lag0,UEp_corr_lead1,UEp_p_lead1,UEp_corr_lead2,UEp_p_lead2,UEp_corr_lead3,UEp_p_lead3,UEp_corr_lead4,UEp_p_lead4,UN_corr_lag4,UN_p_lag4,UN_corr_lag3,UN_p_lag3,UN_corr_lag2,UN_p_lag2,UN_corr_lag1,UN_p_lag1,UN_corr_lag0,UN_p_lag0,UN_corr_lead1,UN_p_lead1,UN_corr_lead2,UN_p_lead2,UN_corr_lead3,UN_p_lead3,UN_corr_lead4,UN_p_lead4,NEf_corr_lag4,NEf_p_lag4,NEf_corr_lag3,NEf_p_lag3,NEf_corr_lag2,NEf_p_lag2,NEf_corr_lag1,NEf_p_lag1,NEf_corr_lag0,NEf_p_lag0,NEf_corr_lead1,NEf_p_lead1,NEf_corr_lead2,NEf_p_lead2,NEf_corr_lead3,NEf_p_lead3,NEf_corr_lead4,NEf_p_lead4,NEp_corr_lag4,NEp_p_lag4,NEp_corr_lag3,NEp_p_lag3,NEp_corr_lag2,NEp_p_lag2,NEp_corr_lag1,NEp_p_lag1,NEp_corr_lag0,NEp_p_lag0,NEp_corr_lead1,NEp_p_lead1,NEp_corr_lead2,NEp_p_lead2,NEp_corr_lead3,NEp_p_lead3,NEp_corr_lead4,NEp_p_lead4,NU_corr_lag4,NU_p_lag4,NU_corr_lag3,NU_p_lag3,NU_corr_lag2,NU_p_lag2,NU_corr_lag1,NU_p_lag1,NU_corr_lag0,NU_p_lag0,NU_corr_lead1,NU_p_lead1,NU_corr_lead2,NU_p_lead2,NU_corr_lead3,NU_p_lead3,NU_corr_lead4,NU_p_lead4
0,31-35,0.001,0.995,-0.056,0.569,-0.197,0.043,-0.392,0.0,-0.779,0.0,-0.495,0.0,-0.256,0.008,-0.155,0.115,-0.025,0.803,0.004,0.971,-0.007,0.947,-0.155,0.112,-0.331,0.0,-0.697,0.0,-0.365,0.0,-0.131,0.181,-0.035,0.72,0.046,0.642,-0.067,0.497,-0.014,0.889,0.066,0.503,0.013,0.892,-0.115,0.237,0.192,0.048,0.13,0.183,0.056,0.57,0.128,0.196,-0.031,0.755,0.014,0.889,-0.005,0.956,-0.064,0.51,-0.289,0.002,-0.127,0.191,0.089,0.362,0.132,0.18,0.148,0.134,0.002,0.983,-0.001,0.99,-0.034,0.733,-0.267,0.006,-0.589,0.0,-0.278,0.004,-0.084,0.395,0.113,0.253,0.167,0.09,0.212,0.031,0.212,0.03,0.216,0.026,0.272,0.005,0.391,0.0,0.0,0.998,0.03,0.76,-0.019,0.851,-0.005,0.956,0.256,0.009,0.467,0.0,0.552,0.0,0.589,0.0,0.522,0.0,0.443,0.0,0.325,0.001,0.26,0.007,0.017,0.862,0.317,0.001,0.418,0.0,0.411,0.0,0.382,0.0,0.255,0.008,0.262,0.006,0.108,0.269,0.043,0.661,0.221,0.024,0.193,0.049,0.285,0.003,0.432,0.0,0.632,0.0,0.561,0.0,0.37,0.0,0.354,0.0,0.059,0.549,-0.035,0.728,0.13,0.187,0.279,0.004,0.329,0.001,0.299,0.002,0.207,0.032,0.188,0.053,-0.033,0.734,-0.096,0.33,-0.026,0.795,0.163,0.098,0.145,0.141,0.242,0.012,0.117,0.229,-0.008,0.93,-0.02,0.841,0.099,0.313,0.186,0.057,0.143,0.146,-0.313,0.001,-0.363,0.0,-0.421,0.0,-0.512,0.0,-0.513,0.0,-0.348,0.0,-0.081,0.41,-0.025,0.797,0.114,0.251
1,51-55,0.01,0.921,-0.115,0.241,-0.227,0.019,-0.41,0.0,-0.697,0.0,-0.38,0.0,-0.084,0.393,-0.018,0.853,0.082,0.408,0.095,0.338,0.054,0.588,-0.065,0.508,-0.302,0.002,-0.628,0.0,-0.343,0.0,-0.064,0.514,-0.051,0.603,0.038,0.7,-0.037,0.71,0.091,0.355,0.17,0.081,0.062,0.523,-0.078,0.42,-0.007,0.942,-0.108,0.271,-0.057,0.561,-0.062,0.533,-0.067,0.497,-0.04,0.686,-0.103,0.294,-0.178,0.067,-0.192,0.047,-0.097,0.32,0.03,0.763,0.161,0.1,0.175,0.076,0.069,0.488,0.033,0.741,-0.076,0.438,-0.334,0.0,-0.69,0.0,-0.391,0.0,-0.201,0.039,-0.07,0.478,0.014,0.886,0.238,0.015,0.229,0.019,0.178,0.067,0.245,0.011,0.198,0.04,0.131,0.179,0.074,0.454,-0.002,0.987,-0.102,0.303,0.459,0.0,0.542,0.0,0.584,0.0,0.503,0.0,0.415,0.0,0.433,0.0,0.301,0.002,0.145,0.14,0.015,0.883,0.299,0.002,0.386,0.0,0.432,0.0,0.306,0.001,0.162,0.094,0.176,0.07,0.009,0.924,0.131,0.182,0.043,0.664,0.183,0.064,0.283,0.003,0.441,0.0,0.554,0.0,0.493,0.0,0.404,0.0,0.325,0.001,0.208,0.034,0.165,0.095,0.162,0.1,0.131,0.184,0.161,0.099,0.115,0.24,0.097,0.317,0.072,0.459,-0.041,0.675,0.032,0.745,0.112,0.257,0.037,0.707,-0.071,0.472,-0.093,0.345,0.007,0.941,-0.043,0.661,0.033,0.734,0.087,0.373,-0.022,0.825,0.003,0.98,-0.173,0.078,-0.281,0.004,-0.217,0.025,-0.46,0.0,-0.579,0.0,-0.3,0.002,-0.069,0.481,-0.034,0.728,0.005,0.964
2,16-20,-0.122,0.217,-0.118,0.232,-0.205,0.035,-0.335,0.0,-0.535,0.0,-0.346,0.0,-0.234,0.016,-0.167,0.089,-0.101,0.306,0.068,0.495,-0.039,0.695,-0.088,0.371,-0.224,0.02,-0.45,0.0,-0.189,0.051,-0.017,0.862,-0.06,0.545,0.014,0.889,0.114,0.251,0.183,0.062,0.155,0.112,0.248,0.01,0.125,0.199,0.175,0.071,0.108,0.272,-0.029,0.77,0.032,0.744,0.066,0.505,0.122,0.215,0.138,0.16,0.251,0.009,0.248,0.01,0.232,0.016,0.09,0.36,0.053,0.59,0.009,0.927,0.075,0.448,0.017,0.861,-0.082,0.406,-0.208,0.031,-0.618,0.0,-0.325,0.001,-0.133,0.174,-0.034,0.734,0.201,0.04,0.008,0.939,0.042,0.67,0.244,0.012,0.35,0.0,0.21,0.029,0.331,0.0,0.239,0.014,0.127,0.197,0.023,0.813,0.116,0.241,0.255,0.009,0.373,0.0,0.52,0.0,0.473,0.0,0.409,0.0,0.362,0.0,0.22,0.024,0.065,0.512,0.298,0.002,0.386,0.0,0.424,0.0,0.476,0.0,0.403,0.0,0.477,0.0,0.379,0.0,0.225,0.021,0.21,0.032,-0.108,0.277,-0.031,0.756,0.036,0.715,0.282,0.003,0.309,0.001,0.154,0.114,0.157,0.109,0.167,0.09,0.154,0.118,0.244,0.013,0.13,0.187,0.22,0.023,0.254,0.008,0.518,0.0,0.321,0.001,0.163,0.095,0.048,0.626,0.014,0.89,0.13,0.19,0.267,0.006,0.307,0.001,0.498,0.0,0.577,0.0,0.345,0.0,0.188,0.054,0.131,0.182,0.04,0.686,-0.047,0.632,-0.168,0.087,-0.308,0.001,-0.408,0.0,-0.511,0.0,-0.195,0.045,-0.087,0.376,-0.036,0.717,0.077,0.437
3,21-25,-0.167,0.09,-0.188,0.055,-0.21,0.031,-0.292,0.002,-0.681,0.0,-0.422,0.0,-0.197,0.043,-0.092,0.35,-0.005,0.96,0.118,0.231,0.085,0.39,0.044,0.651,-0.111,0.255,-0.524,0.0,-0.221,0.022,-0.09,0.36,0.062,0.533,0.164,0.096,0.136,0.168,0.23,0.018,0.182,0.062,0.303,0.002,0.142,0.142,0.158,0.104,0.013,0.899,0.137,0.164,-0.021,0.833,0.031,0.756,0.162,0.098,0.15,0.125,0.183,0.059,-0.018,0.854,0.241,0.012,0.233,0.016,0.089,0.366,-0.023,0.816,0.075,0.448,0.081,0.41,-0.08,0.415,-0.25,0.01,-0.581,0.0,-0.297,0.002,-0.013,0.898,0.031,0.753,0.1,0.313,0.071,0.475,0.084,0.394,0.254,0.009,0.315,0.001,0.246,0.01,0.334,0.0,0.136,0.166,-0.043,0.665,-0.07,0.482,0.362,0.0,0.427,0.0,0.509,0.0,0.619,0.0,0.659,0.0,0.416,0.0,0.341,0.0,0.203,0.038,0.1,0.314,0.319,0.001,0.436,0.0,0.366,0.0,0.394,0.0,0.32,0.001,0.238,0.014,0.044,0.654,-0.01,0.921,-0.041,0.678,0.1,0.314,0.278,0.004,0.435,0.0,0.468,0.0,0.375,0.0,0.206,0.033,0.202,0.038,0.241,0.013,0.039,0.691,0.29,0.003,0.297,0.002,0.339,0.0,0.472,0.0,0.552,0.0,0.344,0.0,0.169,0.083,0.023,0.817,-0.11,0.267,-0.014,0.889,0.098,0.319,0.087,0.376,0.15,0.124,0.063,0.519,0.053,0.589,-0.051,0.603,0.02,0.842,0.0,0.999,-0.226,0.021,-0.136,0.167,-0.257,0.008,-0.483,0.0,-0.626,0.0,-0.305,0.001,-0.059,0.55,-0.039,0.696,0.027,0.784
4,41-45,-0.059,0.55,-0.107,0.279,-0.29,0.003,-0.427,0.0,-0.76,0.0,-0.54,0.0,-0.281,0.004,-0.178,0.069,-0.072,0.469,0.014,0.891,-0.015,0.881,-0.139,0.155,-0.31,0.001,-0.693,0.0,-0.359,0.0,-0.183,0.061,-0.1,0.31,0.022,0.828,0.05,0.614,0.044,0.653,0.105,0.282,0.188,0.052,0.171,0.076,0.151,0.121,0.283,0.003,0.123,0.212,-0.003,0.975,0.09,0.365,0.162,0.098,0.04,0.683,-0.191,0.049,-0.261,0.006,-0.147,0.13,-0.044,0.654,-0.028,0.774,0.065,0.513,0.022,0.824,-0.018,0.854,-0.094,0.339,-0.141,0.147,-0.526,0.0,-0.291,0.002,-0.247,0.011,0.018,0.854,0.069,0.486,-0.036,0.718,0.041,0.678,0.093,0.342,0.127,0.191,0.383,0.0,0.186,0.056,0.178,0.067,0.148,0.133,0.187,0.057,0.402,0.0,0.523,0.0,0.623,0.0,0.539,0.0,0.502,0.0,0.413,0.0,0.303,0.002,0.159,0.104,0.006,0.953,0.272,0.005,0.218,0.026,0.218,0.025,0.295,0.002,0.214,0.026,0.386,0.0,0.074,0.453,-0.057,0.566,-0.04,0.689,0.284,0.003,0.445,0.0,0.506,0.0,0.651,0.0,0.51,0.0,0.351,0.0,0.229,0.018,0.245,0.012,0.205,0.037,0.132,0.183,0.208,0.033,0.284,0.003,0.395,0.0,0.335,0.0,0.163,0.094,0.191,0.05,0.046,0.641,-0.039,0.695,0.054,0.589,0.082,0.403,0.015,0.878,-0.043,0.657,-0.085,0.381,-0.096,0.325,-0.087,0.374,0.059,0.551,0.146,0.14,-0.291,0.003,-0.253,0.009,-0.292,0.002,-0.426,0.0,-0.506,0.0,-0.205,0.034,-0.032,0.741,0.076,0.44,0.171,0.082
5,46-50,-0.014,0.885,-0.091,0.358,-0.246,0.011,-0.455,0.0,-0.786,0.0,-0.434,0.0,-0.219,0.024,-0.142,0.148,-0.045,0.65,0.159,0.107,0.076,0.441,-0.1,0.307,-0.324,0.001,-0.658,0.0,-0.335,0.0,-0.146,0.136,-0.009,0.924,0.085,0.392,0.044,0.655,0.17,0.083,0.158,0.105,0.177,0.069,0.039,0.689,-0.004,0.969,0.001,0.994,-0.008,0.933,-0.025,0.801,-0.02,0.837,0.066,0.505,0.027,0.784,-0.022,0.824,-0.124,0.202,0.096,0.328,0.325,0.001,0.125,0.205,-0.01,0.923,0.098,0.324,0.079,0.425,-0.023,0.818,-0.18,0.063,-0.511,0.0,-0.257,0.008,-0.033,0.741,0.082,0.408,0.08,0.421,0.041,0.677,0.272,0.005,0.268,0.005,0.255,0.008,0.21,0.029,0.172,0.076,0.143,0.144,0.022,0.821,0.13,0.187,0.379,0.0,0.462,0.0,0.452,0.0,0.404,0.0,0.342,0.0,0.385,0.0,0.193,0.048,0.194,0.047,0.123,0.214,0.333,0.001,0.337,0.0,0.317,0.001,0.263,0.006,0.176,0.069,0.259,0.007,0.183,0.061,0.069,0.487,-0.006,0.952,0.142,0.151,0.247,0.011,0.415,0.0,0.598,0.0,0.556,0.0,0.442,0.0,0.353,0.0,0.327,0.001,0.076,0.441,0.201,0.04,0.318,0.001,0.226,0.02,0.227,0.019,0.148,0.127,0.061,0.529,0.007,0.944,0.1,0.31,0.111,0.263,0.005,0.957,-0.013,0.898,0.008,0.932,0.123,0.206,-0.033,0.736,0.027,0.78,0.092,0.347,-0.015,0.883,-0.018,0.86,-0.301,0.002,-0.346,0.0,-0.402,0.0,-0.456,0.0,-0.494,0.0,-0.165,0.088,-0.023,0.812,0.135,0.171,0.163,0.098
6,61-65,0.074,0.455,0.125,0.203,0.039,0.692,-0.178,0.067,-0.546,0.0,-0.244,0.011,-0.093,0.342,-0.077,0.433,0.003,0.972,0.037,0.708,0.049,0.62,-0.097,0.323,-0.318,0.001,-0.582,0.0,-0.387,0.0,-0.231,0.017,-0.082,0.405,0.013,0.894,0.18,0.068,0.078,0.43,-0.021,0.831,0.084,0.389,0.187,0.053,0.176,0.07,0.162,0.097,0.131,0.183,0.126,0.204,-0.014,0.888,-0.011,0.913,-0.01,0.917,-0.203,0.036,-0.264,0.006,-0.043,0.661,-0.061,0.537,-0.036,0.717,0.091,0.359,0.027,0.782,0.0,0.999,-0.01,0.921,-0.183,0.059,-0.42,0.0,-0.149,0.126,0.082,0.401,0.125,0.203,0.039,0.693,0.009,0.928,0.259,0.008,0.383,0.0,0.383,0.0,0.369,0.0,0.208,0.032,0.202,0.038,0.165,0.093,0.079,0.424,0.299,0.002,0.315,0.001,0.345,0.0,0.27,0.005,0.223,0.02,0.103,0.29,0.061,0.537,0.186,0.057,0.004,0.971,0.233,0.017,0.32,0.001,0.377,0.0,0.312,0.001,0.17,0.078,0.113,0.248,0.092,0.349,-0.052,0.6,-0.001,0.994,0.06,0.545,0.143,0.145,0.238,0.014,0.391,0.0,0.411,0.0,0.302,0.002,0.212,0.029,0.346,0.0,0.187,0.057,0.096,0.333,0.17,0.084,0.176,0.071,0.228,0.018,0.232,0.016,0.137,0.158,0.177,0.07,0.095,0.334,0.019,0.85,-0.002,0.986,0.09,0.36,0.074,0.449,0.129,0.186,0.066,0.496,0.122,0.212,-0.01,0.922,0.016,0.873,-0.004,0.967,-0.24,0.014,-0.253,0.009,-0.381,0.0,-0.452,0.0,-0.505,0.0,-0.24,0.013,-0.033,0.74,0.078,0.426,0.123,0.215
7,26-30,-0.085,0.391,-0.073,0.457,-0.187,0.054,-0.344,0.0,-0.702,0.0,-0.468,0.0,-0.221,0.023,-0.078,0.429,0.111,0.262,0.057,0.565,0.035,0.724,-0.115,0.242,-0.306,0.001,-0.661,0.0,-0.307,0.001,-0.049,0.615,0.03,0.761,0.12,0.224,0.099,0.319,0.127,0.198,0.038,0.697,-0.029,0.765,-0.053,0.588,-0.036,0.71,-0.01,0.92,-0.02,0.842,-0.02,0.836,0.054,0.589,0.044,0.654,0.227,0.019,-0.143,0.142,-0.1,0.304,0.013,0.898,0.12,0.22,0.159,0.106,0.077,0.438,-0.07,0.48,-0.044,0.659,-0.051,0.602,-0.324,0.001,-0.548,0.0,-0.2,0.039,-0.113,0.247,-0.011,0.909,0.003,0.977,0.216,0.027,0.215,0.028,0.279,0.004,0.27,0.005,0.059,0.546,0.096,0.327,0.137,0.162,0.035,0.723,0.099,0.317,0.381,0.0,0.557,0.0,0.569,0.0,0.606,0.0,0.449,0.0,0.435,0.0,0.351,0.0,0.148,0.133,0.083,0.403,0.255,0.009,0.303,0.002,0.321,0.001,0.38,0.0,0.274,0.004,0.19,0.05,0.104,0.29,0.101,0.303,0.04,0.687,0.15,0.128,0.244,0.012,0.382,0.0,0.539,0.0,0.475,0.0,0.408,0.0,0.25,0.01,0.287,0.003,0.078,0.434,0.224,0.022,0.257,0.008,0.301,0.002,0.237,0.014,0.314,0.001,0.088,0.365,0.019,0.845,0.004,0.967,0.032,0.747,0.138,0.162,0.135,0.171,0.176,0.07,0.176,0.069,0.139,0.151,0.134,0.168,0.17,0.081,0.094,0.342,-0.041,0.68,-0.21,0.033,-0.246,0.011,-0.35,0.0,-0.538,0.0,-0.599,0.0,-0.206,0.034,-0.12,0.221,-0.045,0.649,0.013,0.895
8,56-60,-0.013,0.897,-0.122,0.216,-0.159,0.103,-0.331,0.001,-0.642,0.0,-0.334,0.0,-0.086,0.383,-0.012,0.906,0.078,0.431,0.135,0.172,0.087,0.376,-0.125,0.201,-0.277,0.004,-0.634,0.0,-0.355,0.0,-0.243,0.012,-0.126,0.202,-0.068,0.493,0.046,0.644,0.074,0.451,0.17,0.082,0.099,0.309,0.0,0.996,0.021,0.828,0.103,0.293,0.138,0.159,0.119,0.229,0.173,0.079,0.083,0.402,0.013,0.895,-0.11,0.258,-0.265,0.006,-0.009,0.93,0.065,0.507,0.163,0.097,0.059,0.549,0.034,0.73,-0.011,0.911,-0.07,0.476,-0.312,0.001,-0.515,0.0,-0.129,0.185,0.053,0.589,0.192,0.05,0.171,0.083,0.071,0.477,0.014,0.887,0.039,0.692,0.204,0.035,0.291,0.002,0.018,0.858,-0.083,0.398,0.038,0.701,0.012,0.901,0.338,0.0,0.547,0.0,0.492,0.0,0.449,0.0,0.359,0.0,0.355,0.0,0.194,0.047,0.084,0.394,0.113,0.254,0.236,0.016,0.357,0.0,0.296,0.002,0.206,0.033,0.16,0.097,0.19,0.05,0.058,0.557,0.11,0.266,-0.1,0.314,0.297,0.002,0.333,0.001,0.423,0.0,0.462,0.0,0.432,0.0,0.328,0.001,0.024,0.809,0.02,0.843,-0.057,0.563,0.099,0.319,0.101,0.308,0.165,0.091,0.18,0.064,0.141,0.145,0.08,0.41,-0.013,0.893,-0.054,0.583,-0.081,0.413,0.096,0.332,0.116,0.239,0.033,0.734,0.079,0.42,-0.047,0.628,-0.025,0.798,0.03,0.763,0.102,0.299,0.196,0.046,-0.29,0.003,-0.338,0.0,-0.419,0.0,-0.531,0.0,-0.59,0.0,-0.307,0.001,-0.141,0.149,0.09,0.36,0.227,0.02
9,16-65,-0.039,0.697,-0.091,0.356,-0.218,0.025,-0.421,0.0,-0.849,0.0,-0.498,0.0,-0.245,0.011,-0.136,0.165,0.001,0.988,0.089,0.367,0.063,0.524,-0.072,0.465,-0.317,0.001,-0.739,0.0,-0.365,0.0,-0.121,0.216,-0.034,0.729,0.058,0.558,0.183,0.063,0.264,0.007,0.297,0.002,0.388,0.0,0.236,0.014,0.247,0.01,0.205,0.035,0.152,0.122,0.053,0.59,0.03,0.763,0.064,0.515,0.025,0.802,-0.191,0.048,-0.398,0.0,-0.024,0.809,0.136,0.165,0.17,0.082,0.124,0.21,0.066,0.505,0.022,0.827,-0.088,0.368,-0.319,0.001,-0.714,0.0,-0.345,0.0,-0.114,0.246,0.047,0.633,0.158,0.11,0.183,0.062,0.312,0.001,0.499,0.0,0.681,0.0,0.571,0.0,0.455,0.0,0.334,0.0,0.143,0.145,0.048,0.628,0.465,0.0,0.633,0.0,0.712,0.0,0.7,0.0,0.611,0.0,0.516,0.0,0.418,0.0,0.271,0.005,0.094,0.344,0.529,0.0,0.647,0.0,0.639,0.0,0.626,0.0,0.507,0.0,0.48,0.0,0.26,0.007,0.151,0.125,0.111,0.262,0.284,0.003,0.442,0.0,0.607,0.0,0.791,0.0,0.712,0.0,0.502,0.0,0.341,0.0,0.227,0.02,0.115,0.247,0.307,0.002,0.396,0.0,0.501,0.0,0.558,0.0,0.575,0.0,0.371,0.0,0.196,0.044,0.049,0.622,-0.02,0.837,0.171,0.083,0.272,0.005,0.277,0.004,0.43,0.0,0.329,0.001,0.224,0.02,0.139,0.154,0.184,0.06,0.116,0.242,-0.277,0.004,-0.316,0.001,-0.431,0.0,-0.617,0.0,-0.715,0.0,-0.303,0.002,-0.07,0.474,0.025,0.799,0.152,0.124
10,36-40,-0.033,0.738,-0.105,0.286,-0.246,0.011,-0.452,0.0,-0.756,0.0,-0.412,0.0,-0.338,0.0,-0.166,0.09,-0.03,0.762,0.094,0.343,0.056,0.573,-0.08,0.412,-0.315,0.001,-0.654,0.0,-0.357,0.0,-0.189,0.053,-0.036,0.718,-0.004,0.971,0.22,0.025,0.178,0.068,0.087,0.376,0.131,0.18,0.003,0.977,0.009,0.928,0.076,0.442,0.063,0.521,-0.049,0.619,0.121,0.221,0.126,0.2,-0.019,0.849,-0.137,0.158,-0.188,0.051,0.082,0.403,0.021,0.827,0.073,0.46,0.08,0.419,-0.074,0.458,-0.119,0.228,-0.219,0.024,-0.387,0.0,-0.612,0.0,-0.366,0.0,-0.159,0.103,0.138,0.159,0.268,0.006,0.075,0.449,0.043,0.662,0.008,0.938,0.251,0.009,0.145,0.134,0.168,0.083,0.241,0.013,0.137,0.164,0.068,0.493,0.459,0.0,0.566,0.0,0.591,0.0,0.555,0.0,0.454,0.0,0.393,0.0,0.337,0.0,0.203,0.038,0.093,0.346,0.141,0.153,0.154,0.116,0.092,0.35,0.061,0.531,0.1,0.303,0.139,0.153,0.204,0.036,0.382,0.0,0.173,0.078,0.269,0.006,0.32,0.001,0.4,0.0,0.61,0.0,0.533,0.0,0.369,0.0,0.236,0.015,0.163,0.096,0.111,0.264,0.223,0.023,0.193,0.048,0.248,0.01,0.248,0.01,0.211,0.028,0.128,0.189,0.0,0.997,-0.051,0.603,-0.086,0.384,0.149,0.131,0.177,0.071,-0.014,0.884,0.008,0.936,0.108,0.265,0.059,0.549,-0.045,0.648,-0.102,0.3,-0.082,0.407,-0.201,0.04,-0.379,0.0,-0.462,0.0,-0.461,0.0,-0.581,0.0,-0.326,0.001,-0.058,0.555,0.127,0.196,0.194,0.049
